id,centroid_x,centroid_y,area,time
0,873,594,33075,2025-06-06_11:02:04
1,1292,841,30272,2025-06-06_11:02:04
0,873,596,31806,2025-06-06_11:04:17
0,872,596,32190,2025-06-06_11:07:29
1,1291,840,30272,2025-06-06_11:07:29
0,965,656,17176,2025-07-09_17:41:32
1,108,580,15621,2025-07-09_17:41:32
0,925,673,18532,2025-07-09_18:58:56
1,72,589,16492,2025-07-09_18:58:56
0,922,674,18704,2025-07-09_18:59:06
0,926,673,18306,2025-07-09_18:59:07
0,923,673,18871,2025-07-09_18:59:36
0,926,674,18696,2025-07-09_18:59:52
0,923,674,18704,2025-07-09_18:59:54
0,926,673,18306,2025-07-09_19:00:31
0,923,674,18480,2025-07-09_19:00:32
0,929,672,17784,2025-07-09_19:00:33
0,928,669,17136,2025-07-09_19:00:34
0,931,670,16500,2025-07-09_19:00:37
0,938,684,23564,2025-07-09_19:00:41
2,885,580,18000,2025-07-09_19:00:41
2,881,582,18688,2025-07-09_19:00:44
2,884,580,18500,2025-07-09_19:00:48
2,881,583,18816,2025-07-09_19:00:50
2,883,580,18648,2025-07-09_19:00:51
2,880,583,19630,2025-07-09_19:01:37
2,883,582,18432,2025-07-09_19:01:38
2,884,579,18796,2025-07-09_19:01:39
3,953,162,15120,2025-07-09_19:01:49
0,70,589,15851,2025-07-09_19:58:59
1,953,165,15015,2025-07-09_19:58:59
2,949,237,12136,2025-07-09_20:00:28
2,944,240,13857,2025-07-09_20:00:29
2,949,239,13950,2025-07-09_20:01:01
0,949,237,11890,2025-07-09_20:31:27
1,67,590,15372,2025-07-09_20:31:27
0,1304,525,32617,2025-07-10_14:30:26
0,1304,530,33908,2025-07-10_14:32:39
0,1304,535,34400,2025-07-10_14:36:18
0,1307,539,34542,2025-07-10_14:40:29
